CustomerID,RecommendedCustomerID,SimilarityScore
C0001,C0088,0.9999180273062817
C0001,C0106,0.9999189882858155
C0001,C0174,0.9999925206754139
C0002,C0121,0.9999606556345693
C0002,C0025,0.9999698036554358
C0002,C0029,0.999973470252279
C0003,C0031,0.9997098822459516
C0003,C0177,0.9997334930936361
C0003,C0052,0.9998558189517273
C0004,C0165,0.9999005130997571
C0004,C0173,0.9999354354316119
C0004,C0104,0.9999737858569594
C0005,C0073,0.9999787962237741
C0005,C0176,0.9999875081652314
C0005,C0159,0.9999953915870116
C0006,C0026,0.9998869270635559
C0006,C0092,0.9999445408503026
C0006,C0177,0.9999924121926077
C0007,C0061,0.9992290892961018
C0007,C0132,0.9998283198607477
C0007,C0197,0.9998762057521748
C0008,C0141,0.9997464363911974
C0008,C0075,0.9997466219183437
C0008,C0156,0.99977018134906
C0009,C0071,0.9984720675274503
C0009,C0043,0.9994863086412873
C0009,C0077,0.9996559017310996
C0010,C0192,0.9996270666115997
C0010,C0094,0.9998115583894548
C0010,C0166,0.9999988347297241
C0011,C0157,0.9998940899818981
C0011,C0164,0.9999341349638743
C0011,C0107,0.9999586032448796
C0012,C0013,0.9999591513815962
C0012,C0143,0.999972399238182
C0012,C0124,0.9999956820062335
C0013,C0124,0.9999812006733029
C0013,C0087,0.9999981750056056
C0013,C0143,0.9999987048235176
C0014,C0080,0.9788762727193077
C0014,C0130,0.9797463984142315
C0014,C0058,0.9920790851297169
C0015,C0063,0.9954196267710558
C0015,C0140,0.998392793802793
C0015,C0123,0.9990308839535492
C0016,C0183,0.9999901628779625
C0016,C0191,0.9999971887901858
C0016,C0170,0.9999992384265582
C0017,C0099,0.9997961814322956
C0017,C0024,0.9997996965750361
C0017,C0101,0.9999997287715582
C0018,C0111,0.9999445185503547
C0018,C0048,0.9999836169179345
C0018,C0055,0.9999997565955558
C0019,C0119,0.9992769274956333
C0019,C0160,0.9995078045873347
C0019,C0118,0.9998338931834724
C0020,C0110,0.9968996426520693
C0020,C0080,0.9975634331987371
C0020,C0151,0.9996501744836208
